DIA,TMP,RH,PM10
21.0,14.723,78.455,16.455
22.0,15.084,75.684,16.789
23.0,15.21,77.19,24.762
24.0,14.315,81.2,22.15
25.0,13.732,73.526,22.211
26.0,12.238,91.667,12.429
27.0,14.662,62.81,17.048
28.0,14.913,60.435,24.87
29.0,14.377,64.182,24.682
30.0,15.168,59.818,33.455
1.0,15.673,49.636,30.818
2.0,14.795,51.045,30.273
3.0,10.333,80.556,31.444
17.0,18.143,68.217,47.913
18.0,17.157,70.696,37.391
19.0,15.389,76.789,26.895
20.0,14.367,87.333,19.0
21.0,15.705,82.15,22.45
22.0,13.838,90.81,17.667
23.0,11.618,94.045,13.045
24.0,12.861,72.957,23.783
25.0,14.495,67.1,29.55
26.0,14.786,82.682,12.0
27.0,15.735,78.55,15.5
28.0,17.582,66.773,30.818
29.0,17.905,69.048,30.714
30.0,18.035,74.391,19.913
31.0,18.3,72.048,23.714
1.0,18.086,72.182,31.636
2.0,14.09,85.45,27.25
3.0,15.295,71.429,19.667
4.0,17.064,70.591,31.0
5.0,17.076,68.238,32.286
6.0,16.4,61.391,26.696
7.0,13.586,80.818,22.045
8.0,14.814,76.045,23.318
9.0,16.13,71.087,28.957
10.0,15.357,77.739,27.87
11.0,16.089,68.222,23.722
12.0,12.672,87.389,19.611
13.0,8.084,94.368,9.0
14.0,12.809,73.043,30.0
15.0,14.958,72.421,35.316
16.0,17.013,63.522,18.348
17.0,18.681,59.238,23.286
18.0,17.491,65.455,30.091
19.0,15.145,80.545,28.227
20.0,16.67,61.3,26.5
21.0,15.959,66.091,34.136
22.0,15.536,66.318,36.136
23.0,14.768,77.909,25.364
24.0,13.026,79.87,34.13
25.0,15.6,62.773,17.091
26.0,16.162,58.81,20.381
27.0,12.661,75.696,51.565
28.0,14.339,64.261,59.043
29.0,13.33,58.261,47.435
30.0,13.119,57.286,70.619
1.0,15.665,41.696,44.0
2.0,19.329,27.286,45.286
13.0,13.372,69.111,37.222
14.0,14.191,65.87,39.478
15.0,12.668,71.636,42.364
16.0,10.878,69.556,35.667
17.0,14.927,37.909,37.545
18.0,12.67,51.304,48.13
19.0,14.6,49.522,37.652
20.0,14.623,51.682,40.227
21.0,14.091,58.455,16.909
22.0,14.417,52.304,19.522
23.0,11.726,74.043,41.565
24.0,9.735,77.739,80.174
25.0,8.923,83.227,69.182
26.0,10.19,77.143,30.952
27.0,8.704,87.522,39.522
28.0,10.57,71.043,29.696
29.0,12.136,64.364,12.318
30.0,13.004,64.913,25.087
31.0,11.035,77.609,54.217
1.0,10.757,70.304,73.478
2.0,9.135,77.696,32.261
3.0,7.719,78.619,28.0
4.0,11.222,52.087,19.826
5.0,12.578,52.391,26.087
6.0,7.738,75.188,35.438
7.0,8.452,71.762,63.143
8.0,10.139,65.565,40.652
9.0,11.383,49.043,25.391
10.0,12.787,58.261,22.696
11.0,11.448,64.739,29.826
12.0,12.991,53.478,22.609
13.0,10.924,68.294,33.0
14.0,11.009,67.304,38.043
15.0,7.678,59.696,37.565
16.0,8.935,63.261,56.435
17.0,9.313,45.696,38.565
18.0,9.382,43.591,46.0
19.0,10.143,45.348,41.435
20.0,12.283,43.87,54.0
21.0,10.448,48.652,42.652
22.0,11.427,52.727,74.091
23.0,13.42,45.95,61.25
24.0,11.926,56.348,46.696
25.0,13.543,48.696,46.13
26.0,13.991,49.696,35.522
27.0,14.891,52.478,39.087
28.0,14.822,50.652,36.13
29.0,12.53,46.85,32.15
30.0,12.965,35.0,31.957
31.0,14.239,36.826,49.652
1.0,15.291,38.913,39.826
2.0,15.564,42.318,44.364
3.0,14.765,43.87,38.957
4.0,15.361,41.565,36.696
5.0,15.057,46.217,46.913
6.0,13.957,57.261,57.174
7.0,13.496,58.565,44.391
8.0,14.089,47.947,41.789
9.0,14.809,29.217,25.087
10.0,15.148,34.217,38.652
11.0,13.104,48.957,36.696
12.0,14.278,45.217,33.217
13.0,14.448,38.913,43.652
14.0,14.97,40.783,45.783
15.0,14.339,27.913,30.609
16.0,15.182,21.409,24.091
17.0,15.387,27.957,35.826
18.0,15.119,28.524,49.095
19.0,16.03,30.304,39.739
20.0,16.165,46.95,54.85
21.0,14.652,52.739,58.435
22.0,14.861,50.522,48.217
23.0,15.261,51.0,46.0
24.0,15.687,49.957,49.826
25.0,16.239,49.696,53.174
26.0,15.33,55.0,47.15
27.0,15.726,47.522,37.87
28.0,16.074,38.348,32.696
1.0,16.881,39.81,46.81
2.0,15.604,48.043,27.957
3.0,15.113,54.13,41.522
4.0,13.73,57.696,32.957
5.0,14.461,39.739,27.217
6.0,14.626,35.609,33.652
7.0,14.526,44.783,29.783
8.0,15.096,41.0,22.739
9.0,13.65,53.682,16.0
10.0,14.105,49.182,18.773
11.0,15.004,37.043,25.391
12.0,15.926,38.435,52.435
13.0,14.726,55.739,43.0
14.0,16.555,43.05,35.5
15.0,17.061,40.304,36.913
16.0,17.191,27.591,30.818
17.0,14.0,41.565,35.348
18.0,14.687,43.391,33.652
19.0,17.388,47.25,31.125
20.0,16.291,57.913,60.043
21.0,16.631,60.308,43.769
22.0,18.2,43.05,40.25
23.0,17.569,43.385,23.154
24.0,14.5,50.0,50.0
25.0,14.988,55.941,35.882
26.0,16.168,56.136,37.318
27.0,16.2,46.2,37.9
28.0,18.578,36.13,34.261
29.0,15.791,58.565,48.522
30.0,11.359,77.824,28.294
31.0,16.991,46.773,38.727
1.0,16.07,52.478,39.304
2.0,16.278,50.0,39.174
3.0,17.517,45.696,33.739
4.0,18.443,38.043,41.826
5.0,18.23,43.261,41.087
6.0,17.887,33.348,39.652
7.0,18.078,25.13,29.522
8.0,13.417,51.174,48.522
9.0,13.843,33.696,44.391
10.0,16.082,29.864,56.864
11.0,17.782,24.091,45.273
12.0,19.004,23.174,45.652
13.0,19.796,39.478,49.174
14.0,18.752,43.565,37.522
15.0,14.206,70.167,38.0
30.0,15.957,63.87,49.739
1.0,16.4,54.684,33.737
2.0,16.965,44.652,30.609
3.0,12.247,78.471,36.941
4.0,15.026,66.435,29.913
5.0,15.947,36.267,26.267
6.0,17.913,55.2,37.667
27.0,13.475,86.4,27.9
28.0,14.043,79.261,20.522
29.0,16.07,59.13,22.261
30.0,14.583,79.043,25.87
31.0,13.189,88.579,17.526
1.0,14.604,66.174,16.739
2.0,14.426,67.957,22.609
3.0,14.691,71.087,24.261
4.0,15.19,74.048,15.286
5.0,15.548,77.261,17.13
6.0,14.741,82.318,14.091
7.0,15.271,81.381,11.952
8.0,15.073,82.955,18.682
9.0,16.983,70.957,19.565
10.0,17.141,69.364,27.636
11.0,15.765,73.696,24.0
12.0,17.8,66.522,31.609
13.0,17.957,56.913,38.261
14.0,18.583,56.13,36.217
15.0,19.018,47.636,27.636
16.0,17.4,55.609,30.609
17.0,15.986,76.409,20.955
18.0,15.367,77.667,20.286
19.0,15.541,75.227,24.636
20.0,12.863,87.684,21.316
21.0,15.635,77.913,22.696
22.0,16.478,70.043,25.261
23.0,14.686,83.667,24.571
24.0,13.944,86.722,17.722
25.0,13.7,90.652,14.739
26.0,13.786,88.636,13.727
27.0,14.055,85.1,16.2
28.0,15.9,70.478,12.13
29.0,14.065,79.95,16.95
30.0,12.055,93.0,13.0
1.0,13.517,82.304,16.87
2.0,14.674,77.913,26.043
3.0,14.074,81.0,25.913
4.0,12.664,89.364,14.682
5.0,13.378,83.478,14.435
6.0,12.97,84.7,16.55
7.0,13.0,86.0,21.3
8.0,14.409,75.5,22.318
9.0,14.032,77.818,24.364
10.0,13.723,80.909,22.136
11.0,15.065,73.261,28.391
12.0,15.482,67.091,24.727
13.0,15.035,68.65,18.35
14.0,13.8,76.591,24.682
15.0,14.595,78.0,24.7
16.0,13.513,84.783,16.739
17.0,14.443,80.333,21.81
18.0,14.01,80.9,22.2
19.0,17.158,57.211,15.579
20.0,16.665,56.696,14.609
21.0,16.785,56.25,24.45
22.0,16.057,63.0,25.522
23.0,13.078,79.739,19.261
24.0,13.204,76.522,18.304
25.0,15.174,70.043,27.739
26.0,16.422,62.13,27.826
27.0,16.065,70.261,26.174
28.0,14.255,73.955,27.773
29.0,14.909,72.652,25.565
30.0,14.986,76.682,21.318
31.0,16.409,66.318,34.273
