TMP,RH,PM10
15.100770997784394,37.79953203347822,44.70113566335512
14.137592973121428,66.79799022241808,24.799107482489894
14.492807898259706,75.89503569834896,25.920727295161683
12.706704781357466,47.97038194265529,38.75206611570248
15.827802797091444,51.964132683852974,33.90435665800924
14.945080312733795,74.0189843657793,22.074699126924717
13.53477251624884,67.34605909485728,
12.814855328517805,53.46934491100618,40.98560606060606
15.34846386171508,60.84930304264922,31.8351433840064
14.61209979339408,72.60570044494432,28.016020729835407
14.120945340501793,72.2257467144564,28.70592665470165
12.813246393249004,56.46940944693339,39.88848757324712
16.170968133718134,47.068024290524285,34.67282408390088
14.51324411718872,72.86744195106748,23.83013512635077
13.155555931992842,72.47659182755375,26.13390979158137
12.266662259699508,49.83762328513164,38.49006690635185
15.519189888861057,48.08102409357895,38.62347469231762
15.156021716213369,68.1288118195433,21.78786381154215
13.609224059000212,62.78006230529595,31.57216112490728
12.586982219557823,43.92358595446504,42.6603088374605
16.07655503141296,46.66618302065056,33.656949991016056
14.467248096806497,68.48381772375461,24.69381575144362
13.727927524830775,69.73483438014057,25.381043878670837
12.12128932127992,53.02787829074089,37.38098000552268
16.946389420342367,39.4054588542129,36.142090132090125
15.09067598635832,67.07898453911179,24.63377527533555
14.34423668233451,67.75183251253372,23.849955769034835
13.244988185510104,48.22362436740775,34.8941660941697
16.972714051890204,43.44207613386686,40.907889921185536
15.842756724484662,60.95814165409754,26.66386554621849
,,
13.454778798971883,46.98071155783604,34.928205795592575
16.679131647873774,41.99851381886448,
14.324278093520348,70.28700736972952,
13.548694971928528,64.32439310104182,28.660335222360963
13.31311475409836,43.51912568306011,37.07744565217392
,,38.98789249051835
,68.51267657600674,22.172667232030427
14.548505402316763,65.65806070311903,26.59733409817309
12.525244299674268,52.09568733153639,34.138303413220335
16.883401728415055,42.84332270788588,35.996116390958086
19.523226703755217,43.53824756606398,32.79545454545455
14.033494143625193,43.870391705069125,41.14739718147828
