DIA,TMP,RH,PM10
14,13.3,57.0,101.0
14,14.7,53.0,84.0
14,19.0,30.0,31.0
14,21.5,25.0,45.0
14,23.3,17.0,40.0
14,24.6,16.0,31.0
14,25.1,17.0,45.0
14,25.3,17.0,43.0
14,24.2,20.0,57.0
14,21.8,29.0,86.0
14,20.0,38.0,74.0
14,19.2,41.0,112.0
14,18.3,44.0,92.0
15,14.7,52.0,71.0
15,13.7,55.0,36.0
15,13.1,57.0,51.0
15,12.4,59.0,44.0
15,11.7,61.0,42.0
15,11.1,64.0,48.0
15,10.8,66.0,54.0
15,10.8,66.0,97.0
15,12.7,59.0,80.0
15,15.7,50.0,99.0
15,17.7,44.0,93.0
15,20.0,36.0,100.0
15,21.4,32.0,95.0
15,22.3,28.0,123.0
15,23.4,25.0,127.0
15,23.8,23.0,97.0
15,23.8,23.0,104.0
15,22.9,26.0,104.0
15,21.0,33.0,118.0
15,17.5,46.0,100.0
15,16.7,48.0,112.0
15,16.0,50.0,65.0
16,13.3,57.0,65.0
16,12.5,60.0,61.0
16,11.9,62.0,59.0
16,11.3,64.0,60.0
16,11.0,66.0,65.0
16,10.6,65.0,82.0
16,10.4,67.0,94.0
16,12.3,60.0,173.0
16,14.9,51.0,116.0
16,16.5,47.0,105.0
16,17.0,43.0,130.0
16,19.3,37.0,131.0
16,20.7,31.0,58.0
16,22.0,29.0,93.0
16,21.9,29.0,111.0
16,21.5,30.0,71.0
16,20.0,34.0,193.0
16,17.0,45.0,268.0
17,8.5,38.0,108.0
17,9.4,39.0,69.0
17,10.8,35.0,54.0
17,12.3,32.0,58.0
17,13.8,31.0,66.0
17,15.0,32.0,74.0
17,15.7,34.0,68.0
17,16.0,37.0,122.0
17,13.6,43.0,114.0
17,12.1,45.0,170.0
17,10.1,47.0,150.0
17,8.0,48.0,116.0
17,6.6,50.0,87.0
17,5.6,51.0,66.0
17,4.8,53.0,52.0
17,4.3,54.0,34.0
18,4.0,55.0,20.0
18,3.9,55.0,21.0
18,4.0,54.0,22.0
18,4.2,53.0,29.0
18,4.2,50.0,25.0
18,4.0,48.0,31.0
18,5.0,45.0,65.0
18,7.3,41.0,53.0
18,8.0,39.0,76.0
18,10.4,37.0,104.0
18,12.5,34.0,131.0
18,13.6,29.0,149.0
18,14.7,30.0,130.0
18,15.8,30.0,119.0
18,16.7,28.0,127.0
18,15.9,27.0,101.0
18,11.8,34.0,128.0
18,10.4,37.0,81.0
18,9.6,39.0,60.0
18,9.1,41.0,92.0
18,8.0,42.0,56.0
19,8.0,44.0,58.0
19,8.0,46.0,61.0
19,8.0,48.0,65.0
19,7.7,49.0,71.0
19,6.7,53.0,87.0
19,6.2,56.0,113.0
19,6.0,58.0,106.0
19,6.0,61.0,98.0
19,7.8,53.0,109.0
19,10.3,43.0,101.0
19,13.3,37.0,131.0
19,15.8,33.0,116.0
